"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"
0.5	48	27.48	57.92	23.700001	79	-0.219999999999999	-4.24666666666666	0.266667999999999	-1.33333333333333	38	8
-0.5	48	25.1866666666667	56.2333333333333	23.8666676666667	78	-1.16	0.773333333333333	0.166666666666668	-1	38	9
-3	48	24.52	56.7666666666667	24.200001	76	-0.666666666666668	0.533333333333331	0.333333333333332	-2	38	9
-3	48	23.9	57.9066666666667	24.200001	76	-0.620000000000001	1.14	0	0	38	10
-2	48	22.6	61.8733333333333	25.700001	68	0.27333333333333	1.79333333333334	0	0	38	12
-1	48	25.5266666666667	59.7266666666667	25.9999996666667	63.3333333333333	0.426666666666666	-0.346666666666671	0.399999666666666	-1.66666666666666	38	13
-1	48	23.8066666666667	59.4533333333333	26.7666663333333	59.6666666666667	-0.293333333333337	-0.275238095238095	-0.0333326666666665	-0.333333333333336	38	14
-1	48	22.7214285714286	61.2214285714286	23.200001	67	-0.0319047619047623	0.201428571428565	0	0	38	16
0	48	22.4666666666667	61.8333333333333	25.2666663333333	65.3333333333333	-0.0266666666666673	0.126666666666665	0.266666333333333	0.333333333333329	38	17
-1.66666666666667	48	22.7214285714286	58.5071428571429	22.799999	51	-0.125238095238096	0.207142857142863	0	0	39	11
-3	48	22.5866666666667	59.2066666666667	23.700001	48	-0.0733333333333306	-0.0866666666666589	0	0	39	12
-3	48	24.9533333333333	55.8333333333333	24.1	46	0.539999999999999	-0.18	0	0	39	13
0	48	26.2533333333333	51.3733333333333	24.700001	44	0.133333333333333	-0.273333333333333	0	0	39	14
0	48	24.1733333333333	59.8466666666667	24.799999	44	-0.34	0.526666666666664	-0.466667333333334	2.66666666666666	39	16
-1	48	23.9466666666667	60.4133333333333	24.799999	44	-0.226666666666667	0.56666666666667	0	0	39	17
-1	48	24.3	52.9333333333333	20.1	45	-0.086666666666666	-0.940000000000005	0.866667333333336	-4.28571428571428	39	9
-1	48	23	58.0857142857143	24.1	33	-0.153333333333332	-1.62095238095237	0	0	39	16
-1	48	24.56	52.1733333333333	18.5	53	0.373333333333331	-0.606666666666669	0	0	39	10
0	48	24.9733333333333	52.0933333333333	20.6285724285714	47.6666666666667	0.626666666666665	-0.43333333333333	0.428571428571427	-1.33333333333334	39	11
0	48	24.1666666666667	53.9533333333333	21.700001	45	-0.806666666666665	1.14	0	0	39	12
0	48	21.96	58.06	23.799999	40	-0.213333333333331	0.106666666666669	0	0	39	15
0	48	21.6733333333333	60.2133333333333	23.5	36	-0.280000000000001	0.0399999999999991	0	0	39	16
0	48	23.4066666666667	59.0466666666667	20.299999	58	0.406666666666666	2.18	0	0	39	10
-1	48	23.6142857142857	58.35	22.1285720714286	53.9285714285714	-0.45904761904762	0.243333333333332	0.428571071428571	-1.07142857142857	39	11
0	44	24.3133333333333	63.3133333333333	33.166665	51.6666666666667	0.259999999999998	2.14	0.0666670000000025	-0.333333333333336	33	15
0	44	24.6	62.9866666666667	33.3333333333333	51.3333333333333	-0.0666666666666664	-0.773333333333333	0.033334333333336	0.333333333333336	33	16
0.5	44	27.7	52.54	31	61	-0.0733333333333341	0.439999999999998	0	0	34	12
1	44	26.86	53	32.700001	55	-0.0266666666666673	0.106666666666669	0.857143571428573	-3.57142857142857	34	13
0	44	26.8	52.5866666666667	32.700001	55	-0.0599999999999987	-0.413333333333334	0	0	34	14
1	44	28.9666666666667	54.78	29.9	54	-0.153333333333336	-0.566666666666663	0.866666666666664	-2.66666666666666	34	10
1	44	27.9733333333333	55.3666666666667	29.9	54	-0.879999999999999	0.673333333333332	0	0	34	11
1	44	27.8066666666667	54	27.6999996666667	72.3333333333333	-0.413333333333334	-0.146666666666668	0.299999666666668	-1.66666666666667	34	9
1	44	24.9	58.64	29.7666663333333	65	-0.0600000000000023	-0.126666666666665	0.266666333333333	-1	34	11
0	44	24.9	58.6866666666667	30.299999	63	0.0199999999999996	0.153333333333336	0	0	34	12
0.5	44	25.6133333333333	63.4533333333333	31.1	55	-0.086666666666666	-3.14	0	0	34	13
0.5	44	23.2866666666667	69.18	31.566668	55	0.186666666666667	-2.22666666666666	-0.833334000000001	3	34	17
-0.5	44	23.1466666666667	66.0266666666667	27.700001	68	0.0199999999999996	1.11333333333334	0	0	34	19
1	44	28.5733333333333	53.0466666666667	29.799999	66	-0.466666666666665	0.0933333333333337	1.06666533333333	-4	35	9
1.5	44	24.3	65.7666666666667	28.566667	58	-0.0133333333333319	2.24666666666667	0.366665999999999	-1	35	10
2	44	24.1	64.08	30.299999	53	-0.18	-1.24666666666667	0.666666666666668	-2	35	11
1	44	23.96	63.3266666666667	30.299999	53	-0.140000000000001	-0.75333333333333	0	0	35	12
1	44	23.7	65.2333333333333	31.799999	54	0.0599999999999987	-0.766666666666666	0	0	35	14
2	44	23.7666666666667	65.4333333333333	31.866666	53.6666666666667	0.0666666666666664	0.200000000000003	0.0666669999999989	-0.333333333333336	35	14
2	44	23.08	64.9866666666667	32	53	-0.246666666666666	1.06	0	0	35	15
0.5	44	21.98	68.6533333333333	28.6	67	-0.0199999999999996	0.626666666666665	0	0	35	17
-1.5	44	21.8066666666667	66.14	30.9333333333333	49.3333333333333	-0.113333333333333	-0.739999999999995	-0.166666666666668	-1.66666666666666	35	15
0	44	22.72	64.8466666666667	30	49	0.18	-1.19333333333333	-0.400000000000002	2	35	16
0.5	42	25.1933333333333	65.2266666666667	23.366666	81	0.306666666666668	-1	0.0666669999999989	-1	37	16
0	42	25.4375	64.85	23.5	79	0.244166666666665	-0.376666666666665	0.133334000000001	-2	37	16
0	42	26	64.0533333333333	24.200001	77	0.0733333333333341	-0.640000000000001	0.466667333333334	-1.33333333333333	37	17
0	42	26.08	67.4666666666667	25.7333336666667	72.3333333333333	0.0400000000000027	-0.359999999999999	0.233333666666667	-1.66666666666667	37	13
